date,open,high,low,close,volume
2025-06-26,0.0,131.95,0.0,131.95,131.95
2025-06-27,131.95,598.48,131.95,598.48,466.53
2025-06-30,598.48,1286.84,598.48,1286.84,688.36
2025-07-01,1286.84,1286.84,1191.88,1191.88,94.96
2025-07-02,1191.88,1705.96,1191.88,1705.96,514.08
2025-07-03,1705.96,2361.71,1705.96,2361.71,655.75
2025-07-04,2361.71,2527.04,2361.71,2527.04,165.33
2025-07-07,2527.04,2645.38,2527.04,2645.38,118.34
2025-07-08,2645.38,2645.38,2310.16,2310.16,335.22
2025-07-09,2310.16,2310.16,1655.47,1655.47,654.69
2025-07-10,1655.47,1655.47,715.91,715.91,939.56
2025-07-11,715.91,715.91,-201.77,-201.77,917.68
2025-07-14,-201.77,-201.77,-1106.71,-1106.71,904.94
2025-07-15,-1106.71,-1106.71,-2181.05,-2181.05,1074.34
2025-07-16,-2181.05,-2181.05,-2843.1,-2843.1,662.05
2025-07-17,-2843.1,-2843.1,-3726.91,-3726.91,883.81
2025-07-18,-3726.91,-3726.91,-4594.95,-4594.95,868.04
2025-07-21,-4594.95,-4043.53,-4594.95,-4043.53,551.42
2025-07-22,-4043.53,-3708.0,-4043.53,-3708.0,335.53
2025-07-23,-3708.0,-3538.37,-3708.0,-3538.37,169.63
2025-07-24,-3538.37,-3538.37,-4021.53,-4021.53,483.16
2025-07-25,-4021.53,-4021.53,-4388.15,-4388.15,366.62
2025-07-28,-4388.15,-4388.15,-4474.93,-4474.93,86.78
2025-07-29,-4474.93,-4474.93,-4692.58,-4692.58,217.65
2025-07-30,-4692.58,-4692.58,-4999.12,-4999.12,306.54
2025-07-31,-4999.12,-4999.12,-5085.15,-5085.15,86.03
2025-08-01,-5085.15,-5085.15,-5838.6,-5838.6,753.45
2025-08-04,-5838.6,-5519.06,-5838.6,-5519.06,319.54
2025-08-05,-5519.06,-5519.06,-5794.85,-5794.85,275.79
2025-08-06,-5794.85,-5794.85,-6606.56,-6606.56,811.71
2025-08-07,-6606.56,-6606.56,-6755.43,-6755.43,148.87
2025-08-08,-6755.43,-6755.43,-7223.55,-7223.55,468.12
2025-08-11,-7223.55,-6580.76,-7223.55,-6580.76,642.79
2025-08-12,-6580.76,-5856.33,-6580.76,-5856.33,724.43
2025-08-13,-5856.33,-4809.8,-5856.33,-4809.8,1046.53
2025-08-14,-4809.8,-4695.77,-4809.8,-4695.77,114.03
2025-08-15,-4695.77,-4695.77,-5232.66,-5232.66,536.89
2025-08-18,-5232.66,-5232.66,-5445.7,-5445.7,213.04
2025-08-19,-5445.7,-5432.61,-5445.7,-5432.61,13.09
2025-08-20,-5432.61,-5432.61,-5990.76,-5990.76,558.15
2025-08-21,-5990.76,-5990.76,-6033.45,-6033.45,42.69
2025-08-22,-6033.45,-5067.58,-6033.45,-5067.58,965.87
2025-08-25,-5067.58,-4972.97,-5067.58,-4972.97,94.61
2025-08-26,-4972.97,-4673.93,-4972.97,-4673.93,299.04
2025-08-27,-4673.93,-4673.93,-5104.11,-5104.11,430.18
2025-08-28,-5104.11,-5104.11,-5383.28,-5383.28,279.17
2025-08-29,-5383.28,-3916.86,-5383.28,-3916.86,1466.42
2025-09-01,-3916.86,-3907.21,-3916.86,-3907.21,9.65
2025-09-02,-3907.21,-3907.21,-4089.23,-4089.23,182.02
2025-09-03,-4089.23,-4089.23,-4559.92,-4559.92,470.69
2025-09-04,-4559.92,-4559.92,-5023.59,-5023.59,463.67
2025-09-05,-5023.59,-5023.59,-5449.1,-5449.1,425.51
2025-09-08,-5449.1,-5136.67,-5449.1,-5136.67,312.43
2025-09-09,-5136.67,-5136.67,-5416.52,-5416.52,279.85
2025-09-10,-5416.52,-4937.14,-5416.52,-4937.14,479.38
2025-09-11,-4937.14,-4067.22,-4937.14,-4067.22,869.92
2025-09-12,-4067.22,-3827.44,-4067.22,-3827.44,239.78
2025-09-15,-3827.44,-3757.57,-3827.44,-3757.57,69.87
2025-09-16,-3757.57,-2464.13,-3757.57,-2464.13,1293.44
2025-09-17,-2464.13,-2276.18,-2464.13,-2276.18,187.95
2025-09-18,-2276.18,-1999.82,-2276.18,-1999.82,276.36
2025-09-19,-1999.82,-1999.82,-2035.41,-2035.41,35.59
2025-09-22,-2035.41,-1233.86,-2035.41,-1233.86,801.55
2025-09-23,-1233.86,-95.86,-1233.86,-95.86,1138.0
2025-09-24,-95.86,455.72,-95.86,455.72,551.58
2025-09-25,455.72,864.68,455.72,864.68,408.96
2025-09-26,864.68,873.03,864.68,873.03,8.35
2025-09-29,873.03,1187.77,873.03,1187.77,314.74
2025-09-30,1187.77,1350.23,1187.77,1350.23,162.46
2025-10-01,1350.23,1350.23,1105.27,1105.27,244.96
2025-10-02,1105.27,1105.27,434.29,434.29,670.98
2025-10-03,434.29,434.29,78.67,78.67,355.62
2025-10-06,78.67,78.67,-539.49,-539.49,618.16
2025-10-07,-539.49,-539.49,-1578.05,-1578.05,1038.56
2025-10-08,-1578.05,-1578.05,-2762.53,-2762.53,1184.48
2025-10-09,-2762.53,-2762.53,-3619.0,-3619.0,856.47
2025-10-10,-3619.0,-3619.0,-5594.62,-5594.62,1975.62
2025-10-13,-5594.62,-5488.45,-5594.62,-5488.45,106.17
2025-10-14,-5488.45,-5488.45,-5971.06,-5971.06,482.61
2025-10-15,-5971.06,-5408.13,-5971.06,-5408.13,562.93
2025-10-16,-5408.13,-4061.9,-5408.13,-4061.9,1346.23
2025-10-17,-4061.9,-4061.9,-4908.74,-4908.74,846.84
2025-10-20,-4908.74,-4908.74,-5151.23,-5151.23,242.49
2025-10-21,-5151.23,-5151.23,-5452.65,-5452.65,301.42
2025-10-22,-5452.65,-5452.65,-5879.77,-5879.77,427.12
2025-10-23,-5879.77,-2370.91,-5879.77,-2370.91,3508.86
2025-10-24,-2370.91,-1931.34,-2370.91,-1931.34,439.57
2025-10-27,-1931.34,-1435.46,-1931.34,-1435.46,495.88
2025-10-28,-1435.46,-769.61,-1435.46,-769.61,665.85
2025-10-29,-769.61,-13.11,-769.61,-13.11,756.5
2025-10-30,-13.11,-13.11,-402.58,-402.58,389.47
2025-10-31,-402.58,123.79,-402.58,123.79,526.37
2025-11-03,123.79,123.79,-591.17,-591.17,714.96
2025-11-04,-591.17,-591.17,-1626.46,-1626.46,1035.29
2025-11-05,-1626.46,-1229.75,-1626.46,-1229.75,396.71
2025-11-06,-1229.75,-1229.75,-1343.5,-1343.5,113.75
2025-11-07,-1343.5,-867.49,-1343.5,-867.49,476.01
2025-11-10,-867.49,-305.68,-867.49,-305.68,561.81
2025-11-11,-305.68,1173.57,-305.68,1173.57,1479.25
2025-11-12,1173.57,1959.91,1173.57,1959.91,786.34
2025-11-13,1959.91,2722.74,1959.91,2722.74,762.83
2025-11-14,2722.74,4156.93,2722.74,4156.93,1434.19
2025-11-17,4156.93,4872.06,4156.93,4872.06,715.13
2025-11-18,4872.06,6107.0,4872.06,6107.0,1234.94
2025-11-19,6107.0,7461.63,6107.0,7461.63,1354.63
2025-11-21,7461.63,7461.63,4303.08,4303.08,3158.55
2025-11-24,4303.08,4303.08,3552.39,3552.39,750.69
2025-11-25,3552.39,3552.39,3035.93,3035.93,516.46
2025-11-26,3035.93,3035.93,2959.7,2959.7,76.23
2025-11-27,2959.7,2959.7,2680.3,2680.3,279.4
2025-11-28,2680.3,2680.3,2184.63,2184.63,495.67
2025-12-01,2184.63,2184.63,2107.71,2107.71,76.92
2025-12-02,2107.71,2495.93,2107.71,2495.93,388.22
2025-12-03,2495.93,2495.93,2323.97,2323.97,171.96
2025-12-04,2323.97,2473.94,2323.97,2473.94,149.97
2025-12-05,2473.94,2473.94,455.2,455.2,2018.74
2025-12-08,455.2,1122.07,455.2,1122.07,666.87
2025-12-09,1122.07,1122.07,-196.01,-196.01,1318.08
2025-12-10,-196.01,-73.5,-196.01,-73.5,122.51
2025-12-11,-73.5,-73.5,-990.47,-990.47,916.97
2025-12-12,-990.47,-299.94,-990.47,-299.94,690.53
2025-12-15,-299.94,-299.94,-935.08,-935.08,635.14
2025-12-16,-935.08,534.01,-935.08,534.01,1469.09
2025-12-17,534.01,534.01,203.94,203.94,330.07
2025-12-18,203.94,1732.67,203.94,1732.67,1528.73
2025-12-19,1732.67,1732.67,963.82,963.82,768.85
2025-12-22,963.82,1767.22,963.82,1767.22,803.4
2025-12-23,1767.22,1767.22,1644.35,1644.35,122.87
2025-12-26,1644.35,1794.23,1644.35,1794.23,149.88
2025-12-29,1794.23,1794.23,358.08,358.08,1436.15
2025-12-30,358.08,358.08,311.15,311.15,46.93
2026-01-02,311.15,311.15,-606.37,-606.37,917.52
2026-01-05,-606.37,-606.37,-818.72,-818.72,212.35
2026-01-06,-818.72,-361.6,-818.72,-361.6,457.12
2026-01-07,-361.6,880.68,-361.6,880.68,1242.28
2026-01-08,880.68,1060.76,880.68,1060.76,180.08
2026-01-09,1060.76,1684.95,1060.76,1684.95,624.19
2026-01-12,1684.95,2333.61,1684.95,2333.61,648.66
2026-01-13,2333.61,3293.92,2333.61,3293.92,960.31
2026-01-14,3293.92,4939.98,3293.92,4939.98,1646.06
2026-01-15,4939.98,5525.06,4939.98,5525.06,585.08
2026-01-16,5525.06,7640.48,5525.06,7640.48,2115.42
2026-01-19,7640.48,7954.84,7640.48,7954.84,314.36
2026-01-20,7954.84,9078.07,7954.84,9078.07,1123.23
2026-01-21,9078.07,12661.62,9078.07,12661.62,3583.55
2026-01-22,12661.62,16068.54,12661.62,16068.54,3406.92
2026-01-23,16068.54,18039.46,16068.54,18039.46,1970.92
2026-01-26,18039.46,20511.57,18039.46,20511.57,2472.11
2026-01-27,20511.57,22036.28,20511.57,22036.28,1524.71
2026-01-28,22036.28,23372.98,22036.28,23372.98,1336.7
2026-01-29,23372.98,25631.12,23372.98,25631.12,2258.14
2026-01-30,25631.12,26624.76,25631.12,26624.76,993.64
2026-02-02,26624.76,28217.88,26624.76,28217.88,1593.12
2026-02-03,28217.88,28732.58,28217.88,28732.58,514.7
2026-02-04,28732.58,29493.77,28732.58,29493.77,761.19
2026-02-05,29493.77,29567.93,29493.77,29567.93,74.16
2026-02-06,29567.93,29609.26,29567.93,29609.26,41.33
2026-02-09,29609.26,30823.64,29609.26,30823.64,1214.38
2026-02-10,30823.64,31397.09,30823.64,31397.09,573.45
2026-02-11,31397.09,33831.31,31397.09,33831.31,2434.22
2026-02-12,33831.31,34984.26,33831.31,34984.26,1152.95
2026-02-13,34984.26,35381.44,34984.26,35381.44,397.18
2026-02-18,35381.44,35381.44,34688.18,34688.18,693.26
2026-02-19,34688.18,36916.27,34688.18,36916.27,2228.09
2026-02-20,36916.27,36916.27,35894.02,35894.02,1022.25
2026-02-23,35894.02,38910.48,35894.02,38910.48,3016.46
2026-02-24,38910.48,41043.43,38910.48,41043.43,2132.95
2026-02-25,41043.43,41891.29,41043.43,41891.29,847.86
2026-02-26,41891.29,42717.02,41891.29,42717.02,825.73
2026-02-27,42717.02,42717.02,42020.51,42020.51,696.51
2026-03-02,42020.51,42733.27,42020.51,42733.27,712.76
2026-03-03,42733.27,42733.27,42342.42,42342.42,390.85
2026-03-04,42342.42,43035.24,42342.42,43035.24,692.82
2026-03-05,43035.24,43035.24,42428.77,42428.77,606.47
2026-03-06,42428.77,42801.77,42428.77,42801.77,373.0
2026-03-09,42801.77,44270.2,42801.77,44270.2,1468.43
2026-03-10,44270.2,44728.99,44270.2,44728.99,458.79
2026-03-11,44728.99,44728.99,44152.55,44152.55,576.44
2026-03-12,44152.55,44307.86,44152.55,44307.86,155.31
2026-03-13,44307.86,45480.76,44307.86,45480.76,1172.9
2026-03-16,45480.76,46032.16,45480.76,46032.16,551.4
2026-03-17,46032.16,46597.35,46032.16,46597.35,565.19
2026-03-18,46597.35,47220.01,46597.35,47220.01,622.66
2026-03-19,47220.01,48885.46,47220.01,48885.46,1665.45
2026-03-20,48885.46,48885.46,47374.77,47374.77,1510.69
2026-03-23,47374.77,47838.79,47374.77,47838.79,464.02
2026-03-24,47838.79,49070.12,47838.79,49070.12,1231.33
2026-03-25,49070.12,50104.98,49070.12,50104.98,1034.86
2026-03-26,50104.98,50104.98,49917.14,49917.14,187.84
2026-03-27,49917.14,50892.4,49917.14,50892.4,975.26
2026-03-30,50892.4,51495.81,50892.4,51495.81,603.41
2026-03-31,51495.81,53676.01,51495.81,53676.01,2180.2
2026-04-01,53676.01,55087.87,53676.01,55087.87,1411.86
2026-04-02,55087.87,55464.81,55087.87,55464.81,376.94
2026-04-06,55464.81,55464.81,55287.94,55287.94,176.87
2026-04-07,55287.94,55287.94,54215.09,54215.09,1072.85
2026-04-08,54215.09,56829.19,54215.09,56829.19,2614.1
2026-04-09,56829.19,65227.61,56829.19,65227.61,8398.42
2026-04-10,65227.61,67701.04,65227.61,67701.04,2473.43
2026-04-13,67701.04,68118.71,67701.04,68118.71,417.67
2026-04-14,68118.71,69381.38,68118.71,69381.38,1262.67
2026-04-15,69381.38,69381.38,68349.4,68349.4,1031.98
2026-04-16,68349.4,68349.4,67578.18,67578.18,771.22
2026-04-17,67578.18,67578.18,65156.57,65156.57,2421.61
2026-04-20,65156.57,65188.7,65156.57,65188.7,32.13
2026-04-22,65188.7,65188.7,64728.71,64728.71,459.99
2026-04-23,64728.71,64728.71,63810.74,63810.74,917.97
2026-04-24,63810.74,63810.74,62264.56,62264.56,1546.18
2026-04-27,62264.56,62264.56,61840.65,61840.65,423.91
2026-04-28,61840.65,61840.65,60545.02,60545.02,1295.63
2026-04-29,60545.02,60545.02,58605.35,58605.35,1939.67
2026-04-30,58605.35,58605.35,56854.73,56854.73,1750.62
2026-05-04,56854.73,56854.73,55458.97,55458.97,1395.76
2026-05-05,55458.97,55458.97,54986.85,54986.85,472.12
2026-05-06,54986.85,54986.85,54701.42,54701.42,285.43
2026-05-07,54701.42,54701.42,53543.63,53543.63,1157.79
2026-05-08,53543.63,53662.41,53543.63,53662.41,118.78
2026-05-11,53662.41,53662.41,52535.74,52535.74,1126.67
2026-05-12,52535.74,52535.74,51601.36,51601.36,934.38
2026-05-13,51601.36,51601.36,50404.39,50404.39,1196.97
2026-05-14,50404.39,50404.39,49686.85,49686.85,717.54
2026-05-15,49686.85,49686.85,47214.19,47214.19,2472.66
2026-05-18,47214.19,47214.19,46322.33,46322.33,891.86
2026-05-19,46322.33,46322.33,45418.99,45418.99,903.34
2026-05-20,45418.99,45418.99,45141.68,45141.68,277.31
2026-05-21,45141.68,45141.68,44141.72,44141.72,999.96
2026-05-22,44141.72,44141.72,43753.52,43753.52,388.2
2026-05-25,43753.52,43753.52,43411.5,43411.5,342.02
2026-05-26,43411.5,43411.5,43047.01,43047.01,364.49
2026-05-27,43047.01,43047.01,42750.97,42750.97,296.04
2026-05-28,42750.97,42750.97,42560.19,42560.19,190.78
2026-05-29,42560.19,42560.19,41944.74,41944.74,615.45
2026-06-01,41944.74,41944.74,41059.75,41059.75,884.99
2026-06-02,41059.75,41059.75,41014.6,41014.6,45.15
2026-06-03,41014.6,41014.6,40539.67,40539.67,474.93
2026-06-05,40539.67,40539.67,40090.87,40090.87,448.8
2026-06-08,40090.87,40109.77,40090.87,40109.77,18.9
2026-06-09,40109.77,40109.77,38528.03,38528.03,1581.74
2026-06-10,38528.03,38528.03,38378.98,38378.98,149.05
2026-06-11,38378.98,38378.98,37627.9,37627.9,751.08
2026-06-12,37627.9,37627.9,37625.62,37625.62,2.28
2026-06-15,37625.62,38623.9,37625.62,38623.9,998.28
2026-06-16,38623.9,38623.9,37419.85,37419.85,1204.05
2026-06-17,37419.85,37492.61,37419.85,37492.61,72.76
2026-06-18,37492.61,37573.38,37492.61,37573.38,80.77
2026-06-19,37573.38,37573.38,37571.66,37571.66,1.72
2026-06-22,37571.66,37571.66,35485.44,35485.44,2086.22
2026-06-23,35485.44,35485.44,34422.11,34422.11,1063.33
2026-06-24,34422.11,34422.11,33566.59,33566.59,855.52
2026-06-25,33566.59,33566.59,33155.81,33155.81,410.78
2026-06-26,33155.81,33190.55,33155.81,33190.55,34.74
2026-06-29,33190.55,33857.07,33190.55,33857.07,666.52
2026-06-30,33857.07,34159.16,33857.07,34159.16,302.09
2026-07-01,34159.16,34159.16,33569.34,33569.34,589.82
2026-07-02,33569.34,34136.94,33569.34,34136.94,567.6
2026-07-03,34136.94,34835.08,34136.94,34835.08,698.14
2026-07-06,34835.08,34835.08,34334.76,34334.76,500.32
2026-07-07,34334.76,34346.94,34334.76,34346.94,12.18
2026-07-08,34346.94,34346.94,33739.32,33739.32,607.62
